thetas version times mems
100 0.2.5 665.75 16336
100 0.2.5 608.94 16288
100 0.2.5 669.72 16160
100 0.2.5 626.18 16176
100 0.2.5 580.82 15536
100 0.2.5 633.61 16256
100 0.2.5 651.01 16000
100 0.2.5 612.19 15536
100 0.2.5 612.31 16336
100 0.2.5 659.14 16224
100 0.2.5 662.44 15744
100 0.2.5 621.85 15536
100 0.2.5 650.21 15328
100 0.2.5 616.38 15520
100 0.2.5 649.87 16000
100 0.2.5 625.68 16112
100 0.2.5 602.76 15808
100 0.2.5 616.38 15696
100 0.2.5 660.19 16016
100 0.2.5 671.37 15584
100 0.2.5 659.04 17072
100 0.2.5 657.16 15968
100 0.2.5 633.63 16576
100 0.2.5 674.75 16416
100 0.2.5 628.23 16032
100 0.2.5 668.08 16272
100 0.2.5 631.93 15632
100 0.2.5 671.85 16496
100 0.2.5 629.34 16320
100 0.2.5 670.04 16720
100 0.2.5 626.63 15984
100 0.2.5 665.66 16704
100 0.2.5 622.91 15152
100 0.2.5 660.36 17056
100 0.2.5 631.73 15520
100 0.2.5 662.58 16480
100 0.2.5 624.75 15616
100 0.2.5 615.07 15696
100 0.2.5 644.65 16976
100 0.2.5 665.45 16256
100 0.2.5 629.41 15504
100 0.2.5 662.43 16464
100 0.2.5 625.56 15952
100 0.2.5 667.58 17168
100 0.2.5 633.85 16208
100 0.2.5 621.61 15984
100 0.2.5 634.87 16128
100 0.2.5 658.59 15648
100 0.2.5 624.19 16240
100 0.2.5 668.13 16352
100 0.2.5 617.81 15824
100 0.2.5 665.28 15760
100 0.2.5 635.74 16560
100 0.2.5 632.18 16416
100 0.2.5 620.21 15200
100 0.2.4 1552.53 16224
100 0.2.4 1509.79 16096
100 0.2.4 1492.31 16464
100 0.2.4 1565.68 15952
100 0.2.4 1493.3 15792
100 0.2.4 1478.6 15216
100 0.2.4 1574.64 15984
100 0.2.4 1455.1 15152
100 0.2.4 1511.93 16272
100 0.2.4 1591.46 16544
100 0.2.4 1467.59 16032
100 0.2.4 1455.34 15696
100 0.2.4 1464.91 15680
100 0.2.4 1535.38 15760
100 0.2.4 1507.17 15952
100 0.2.4 1510.77 16064
100 0.2.4 1457.73 15952
100 0.2.4 1617.33 16912
100 0.2.4 1632.15 16144
100 0.2.4 1547.83 16304
100 0.2.4 1558.3 16496
100 0.2.4 1524.15 15712
100 0.2.4 1745.8 16864
100 0.2.4 1598.14 16448
100 0.2.4 1578.25 15728
100 0.2.4 1399.62 15728
100 0.2.4 1484.44 15984
100 0.2.4 1493.11 16144
100 0.2.4 1619.75 16304
100 0.2.4 1508.17 15600
100 0.2.4 1563.65 16496
100 0.2.4 1686.28 16960
100 0.2.4 1511.77 15808
